"site_zip","Number_Violations","Total_Penalty","Willful_Violations","Fatalities","Accidents","Repeat_Violations","Serious_Violations","text_Number_Violations","text_Total_Penalty","text_Fatalities","text_Willful_Violations","text_Serious_Violations","text_Repeat_Violations","lat","lon"
97638,15,475,0,0,0,0,8,"The Poplars Ranch Inc<br />Industry: Cattle Ranching and Farming<br />15 violations (8 serious, 0 repeat, 0 willful). <br />Total penalties: $475","The Poplars Ranch Inc<br />Industry: Cattle Ranching and Farming<br />15 violations (8 serious, 0 repeat, 0 willful). <br />Total penalties: $475","The Poplars Ranch Inc<br />Industry: Cattle Ranching and Farming<br />15 violations (8 serious, 0 repeat, 0 willful). <br />Total penalties: $475","The Poplars Ranch Inc<br />Industry: Cattle Ranching and Farming<br />15 violations (8 serious, 0 repeat, 0 willful). <br />Total penalties: $475","The Poplars Ranch Inc<br />Industry: Cattle Ranching and Farming<br />15 violations (8 serious, 0 repeat, 0 willful). <br />Total penalties: $475","The Poplars Ranch Inc<br />Industry: Cattle Ranching and Farming<br />15 violations (8 serious, 0 repeat, 0 willful). <br />Total penalties: $475",43.135955,-120.987247
98390,15,11900,0,0,0,0,6,"Shining Ocean Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $11,900","Shining Ocean Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $11,900","Shining Ocean Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $11,900","Shining Ocean Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $11,900","Shining Ocean Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $11,900","Shining Ocean Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $11,900",47.209526,-122.2275
98538,15,4800,0,0,0,0,6,"Southbank Dairies Llc<br />Industry: Cattle Ranching and Farming<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $4,800","Southbank Dairies Llc<br />Industry: Cattle Ranching and Farming<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $4,800","Southbank Dairies Llc<br />Industry: Cattle Ranching and Farming<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $4,800","Southbank Dairies Llc<br />Industry: Cattle Ranching and Farming<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $4,800","Southbank Dairies Llc<br />Industry: Cattle Ranching and Farming<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $4,800","Southbank Dairies Llc<br />Industry: Cattle Ranching and Farming<br />15 violations (6 serious, 0 repeat, 0 willful). <br />Total penalties: $4,800",46.482768,-123.146135
99610,15,10157.5,0,0,0,1,8,"North Pacific Seafoods, Inc.<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (8 serious, 1 repeat, 0 willful). <br />Total penalties: $10,157.50","North Pacific Seafoods, Inc.<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (8 serious, 1 repeat, 0 willful). <br />Total penalties: $10,157.50","North Pacific Seafoods, Inc.<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (8 serious, 1 repeat, 0 willful). <br />Total penalties: $10,157.50","North Pacific Seafoods, Inc.<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (8 serious, 1 repeat, 0 willful). <br />Total penalties: $10,157.50","North Pacific Seafoods, Inc.<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (8 serious, 1 repeat, 0 willful). <br />Total penalties: $10,157.50","North Pacific Seafoods, Inc.<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (8 serious, 1 repeat, 0 willful). <br />Total penalties: $10,157.50",60.271797,-150.605205
99685,15,30587.55,0,0,0,0,10,"Alyeska Seafoods, Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $30,587.55","Alyeska Seafoods, Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $30,587.55","Alyeska Seafoods, Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $30,587.55","Alyeska Seafoods, Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $30,587.55","Alyeska Seafoods, Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $30,587.55","Alyeska Seafoods, Inc<br />Industry: Seafood Product Preparation and Packaging<br />15 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $30,587.55",53.871797,-166.48301
5855,14,17547,0,0,0,0,14,"Feed Commodities International, Inc.<br />Industry: Support Activities for Animal Production<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $17,547","Feed Commodities International, Inc.<br />Industry: Support Activities for Animal Production<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $17,547","Feed Commodities International, Inc.<br />Industry: Support Activities for Animal Production<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $17,547","Feed Commodities International, Inc.<br />Industry: Support Activities for Animal Production<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $17,547","Feed Commodities International, Inc.<br />Industry: Support Activities for Animal Production<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $17,547","Feed Commodities International, Inc.<br />Industry: Support Activities for Animal Production<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $17,547",44.927131,-72.192236
13440,14,0,0,0,0,0,13,"Nysdec Rome Fish Disease Control Ctr<br />Industry: Aquaculture<br />14 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $0","Nysdec Rome Fish Disease Control Ctr<br />Industry: Aquaculture<br />14 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $0","Nysdec Rome Fish Disease Control Ctr<br />Industry: Aquaculture<br />14 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $0","Nysdec Rome Fish Disease Control Ctr<br />Industry: Aquaculture<br />14 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $0","Nysdec Rome Fish Disease Control Ctr<br />Industry: Aquaculture<br />14 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $0","Nysdec Rome Fish Disease Control Ctr<br />Industry: Aquaculture<br />14 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $0",43.215771,-75.461779
22831,14,11679.5,0,0,0,0,7,"Virginia Poultry Growers Cooperative, Llc<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $11,679.50","Virginia Poultry Growers Cooperative, Llc<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $11,679.50","Virginia Poultry Growers Cooperative, Llc<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $11,679.50","Virginia Poultry Growers Cooperative, Llc<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $11,679.50","Virginia Poultry Growers Cooperative, Llc<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $11,679.50","Virginia Poultry Growers Cooperative, Llc<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $11,679.50",38.576502,-79.076242
28357,14,12313,0,0,0,0,5,"Mountaire Farms Of North Carolina Corp.<br />Industry: Animal Slaughtering and Processing<br />14 violations (5 serious, 0 repeat, 0 willful). <br />Total penalties: $12,313","Mountaire Farms Of North Carolina Corp.<br />Industry: Animal Slaughtering and Processing<br />14 violations (5 serious, 0 repeat, 0 willful). <br />Total penalties: $12,313","Mountaire Farms Of North Carolina Corp.<br />Industry: Animal Slaughtering and Processing<br />14 violations (5 serious, 0 repeat, 0 willful). <br />Total penalties: $12,313","Mountaire Farms Of North Carolina Corp.<br />Industry: Animal Slaughtering and Processing<br />14 violations (5 serious, 0 repeat, 0 willful). <br />Total penalties: $12,313","Mountaire Farms Of North Carolina Corp.<br />Industry: Animal Slaughtering and Processing<br />14 violations (5 serious, 0 repeat, 0 willful). <br />Total penalties: $12,313","Mountaire Farms Of North Carolina Corp.<br />Industry: Animal Slaughtering and Processing<br />14 violations (5 serious, 0 repeat, 0 willful). <br />Total penalties: $12,313",34.902094,-79.083013
30566,14,37956.1,0,0,0,0,14,"Crystal Farms Mills, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $37,956.10","Crystal Farms Mills, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $37,956.10","Crystal Farms Mills, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $37,956.10","Crystal Farms Mills, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $37,956.10","Crystal Farms Mills, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $37,956.10","Crystal Farms Mills, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $37,956.10",34.236212,-83.89521
44706,14,43624,0,0,7,0,12,"Superior Dairy<br />Industry: Dairy Product Manufacturing<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $43,624","Superior Dairy<br />Industry: Dairy Product Manufacturing<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $43,624","Superior Dairy<br />Industry: Dairy Product Manufacturing<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $43,624","Superior Dairy<br />Industry: Dairy Product Manufacturing<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $43,624","Superior Dairy<br />Industry: Dairy Product Manufacturing<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $43,624","Superior Dairy<br />Industry: Dairy Product Manufacturing<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $43,624",40.753523,-81.418638
50158,14,50909,0,0,2,0,10,"Swift Pork Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $50,909","Swift Pork Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $50,909","Swift Pork Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $50,909","Swift Pork Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $50,909","Swift Pork Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $50,909","Swift Pork Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $50,909",42.049806,-92.900739
54115,14,30747.4,0,0,3,0,14,"Dean Foods Of Wisconsin Llc<br />Industry: Dairy Product Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $30,747.40","Dean Foods Of Wisconsin Llc<br />Industry: Dairy Product Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $30,747.40","Dean Foods Of Wisconsin Llc<br />Industry: Dairy Product Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $30,747.40","Dean Foods Of Wisconsin Llc<br />Industry: Dairy Product Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $30,747.40","Dean Foods Of Wisconsin Llc<br />Industry: Dairy Product Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $30,747.40","Dean Foods Of Wisconsin Llc<br />Industry: Dairy Product Manufacturing<br />14 violations (14 serious, 0 repeat, 0 willful). <br />Total penalties: $30,747.40",44.397967,-88.09639
57552,14,16500,0,0,0,0,9,"Esco Industries, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (9 serious, 0 repeat, 0 willful). <br />Total penalties: $16,500","Esco Industries, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (9 serious, 0 repeat, 0 willful). <br />Total penalties: $16,500","Esco Industries, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (9 serious, 0 repeat, 0 willful). <br />Total penalties: $16,500","Esco Industries, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (9 serious, 0 repeat, 0 willful). <br />Total penalties: $16,500","Esco Industries, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (9 serious, 0 repeat, 0 willful). <br />Total penalties: $16,500","Esco Industries, Inc.<br />Industry: Animal Food Manufacturing<br />14 violations (9 serious, 0 repeat, 0 willful). <br />Total penalties: $16,500",44.282982,-101.19991
60007,14,55854,0,0,5,0,7,"Belmont Sausage Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $55,854","Belmont Sausage Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $55,854","Belmont Sausage Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $55,854","Belmont Sausage Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $55,854","Belmont Sausage Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $55,854","Belmont Sausage Company<br />Industry: Animal Slaughtering and Processing<br />14 violations (7 serious, 0 repeat, 0 willful). <br />Total penalties: $55,854",42.007517,-87.99286
63435,14,33155.6,0,0,11,0,12,"Expedition Acres Llc<br />Industry: Hog and Pig Farming<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $33,155.60","Expedition Acres Llc<br />Industry: Hog and Pig Farming<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $33,155.60","Expedition Acres Llc<br />Industry: Hog and Pig Farming<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $33,155.60","Expedition Acres Llc<br />Industry: Hog and Pig Farming<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $33,155.60","Expedition Acres Llc<br />Industry: Hog and Pig Farming<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $33,155.60","Expedition Acres Llc<br />Industry: Hog and Pig Farming<br />14 violations (12 serious, 0 repeat, 0 willful). <br />Total penalties: $33,155.60",40.199137,-91.58368
63841,14,108712,0,0,6,1,9,"Tyson Foods<br />Industry: Poultry and Egg Production<br />14 violations (9 serious, 1 repeat, 0 willful). <br />Total penalties: $108,712","Tyson Foods<br />Industry: Poultry and Egg Production<br />14 violations (9 serious, 1 repeat, 0 willful). <br />Total penalties: $108,712","Tyson Foods<br />Industry: Poultry and Egg Production<br />14 violations (9 serious, 1 repeat, 0 willful). <br />Total penalties: $108,712","Tyson Foods<br />Industry: Poultry and Egg Production<br />14 violations (9 serious, 1 repeat, 0 willful). <br />Total penalties: $108,712","Tyson Foods<br />Industry: Poultry and Egg Production<br />14 violations (9 serious, 1 repeat, 0 willful). <br />Total penalties: $108,712","Tyson Foods<br />Industry: Poultry and Egg Production<br />14 violations (9 serious, 1 repeat, 0 willful). <br />Total penalties: $108,712",36.771316,-89.984451
85353,14,11300,0,0,1,0,10,"Jbs Tolleson, Inc.<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $11,300","Jbs Tolleson, Inc.<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $11,300","Jbs Tolleson, Inc.<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $11,300","Jbs Tolleson, Inc.<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $11,300","Jbs Tolleson, Inc.<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $11,300","Jbs Tolleson, Inc.<br />Industry: Animal Slaughtering and Processing<br />14 violations (10 serious, 0 repeat, 0 willful). <br />Total penalties: $11,300",33.417511,-112.276974
91352,14,21370,0,0,0,0,2,"Baron Hr Llc<br />Industry: Animal Food Manufacturing<br />14 violations (2 serious, 0 repeat, 0 willful). <br />Total penalties: $21,370","Baron Hr Llc<br />Industry: Animal Food Manufacturing<br />14 violations (2 serious, 0 repeat, 0 willful). <br />Total penalties: $21,370","Baron Hr Llc<br />Industry: Animal Food Manufacturing<br />14 violations (2 serious, 0 repeat, 0 willful). <br />Total penalties: $21,370","Baron Hr Llc<br />Industry: Animal Food Manufacturing<br />14 violations (2 serious, 0 repeat, 0 willful). <br />Total penalties: $21,370","Baron Hr Llc<br />Industry: Animal Food Manufacturing<br />14 violations (2 serious, 0 repeat, 0 willful). <br />Total penalties: $21,370","Baron Hr Llc<br />Industry: Animal Food Manufacturing<br />14 violations (2 serious, 0 repeat, 0 willful). <br />Total penalties: $21,370",34.230854,-118.365856
