year,city,state,admin_financial,admin_judicial,admin_other,administration,air_transit,commercial_activ,correction,educ_elem_sec,educ_higher,education,education_services,envir_housing,fire,health,highways,hospitals,housing_commdevt,inspection,interest_general,libraries,misc,natural_resources,other_gen_spending,parking,parks_recreation,police,public_buildings,public_safety,public_welfare,seaport,sewerage,social_services,sp_empl_retire_tr,spend_intergovt,spend_liquor_store,spending_direct,spending_general,spending_utility,transportation,utility_elec,utility_gas,utility_transit,utility_water,waste_mgmt,welfare_cash,welfare_other,welfare_vendors,percentChange_police,percentChange_correction,percentChange_fire,percentChange_inspection,percentChange_public_safety,ratio_police_public_welfare,combined_police,combined_public_welfare,rank_public_safety,pct_social,pct_police,police_2017,police_1977,social_2017,social_1977
1977,Akron,OH,43.06,18.73,126.93,296.12,15.16,0,14.24,1331.64,0,1331.64,1357.81,623.7,109.45,140.99,343.65,29.42,200.36,9.27,124.5,26.17,245.65,0.07,245.65,35.43,68.78,181.28,107.39,314.24,154.78,0,218.15,325.19,0,9.46,0,3856,3681.45,174.55,394.24,0,0,19.92,154.63,136.33,8.49,134.16,12.13,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.17121075074299,0.5394274831875261,0.46057251681247396,108,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1978,Akron,OH,41.07,20.81,106.1,217.82,14.55,0,17.65,1332.42,0,1332.42,1362.06,576.64,109.85,180.28,283.83,30.73,250.15,9.71,105.82,29.64,99.19,0.01,99.19,18.11,65.61,163.86,49.83,301.05,147.39,0,208.45,358.4,0,3.01,0,3548.95,3337.48,211.48,316.5,0,0,20.22,191.26,52.42,5.77,136.81,4.81,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.111744351719927,0.5264578313253012,0.4735421686746987,117,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1979,Akron,OH,39.51,21.92,96.69,223.67,15.5,0,17.97,1337.7,0,1337.7,1369.37,766.42,123.44,184.57,285.47,35.83,346.27,8.9,111.4,31.67,243.18,0.01,243.18,18.49,90,203.49,65.54,353.79,151.37,0,278.14,371.78,0,0.53,0,3954.06,3759.07,194.99,319.46,0,0,19.78,175.21,52,2.79,145.54,3.04,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.3443218603422078,0.573437411937102,0.42656258806289804,86,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1980,Akron,OH,35.57,21.5,60.51,170.87,22.2,0,24.3,1246.71,0,1246.71,1278.87,774.84,108.33,134.35,155.56,360.93,334.74,8.67,110.83,32.16,339.49,0.12,339.49,15.57,65.48,185.33,53.29,326.62,147.55,0,294.65,642.83,0,0.38,0,4016.89,3837.69,179.2,193.34,0,0,12.94,166.26,79.84,6.08,135.16,6.31,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.25604879701796,0.556747176159577,0.443252823840423,96,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1981,Akron,OH,43.04,22.03,73.91,189.66,17.15,0,23.55,1168.22,0,1168.22,1201.22,794.95,115.37,164.75,243.38,26.08,373.95,9.34,117.37,33,165.86,0.52,165.86,16.2,59.98,188.25,50.68,336.51,168.7,0,243.92,359.53,0,0.27,0,3615.27,3441.84,173.43,276.73,0,0,12.7,160.73,116.58,19.63,139.62,9.45,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.1158861885002964,0.5273847877854041,0.47261521221459585,95,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1982,Akron,OH,47.24,55.75,31.51,167.96,11.03,0,23.15,1149.09,0,1149.09,1184.54,654.27,103.37,142.91,220.01,34.99,305.33,9.95,149.29,35.46,300.65,0.25,300.65,14.94,40.44,170.5,33.46,306.97,165.32,0,192.03,343.21,0,0.21,0,3579.86,3352.89,226.97,245.98,0,0,11.95,215.02,116.23,29.78,119.9,15.64,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.0313331720300025,0.5077124650110179,0.4922875349889822,115,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1983,Akron,OH,94.89,66.62,35.5,225.68,14.58,0,40.93,1181.64,0,1181.64,1216.32,683.46,156.52,170.74,182.43,44.29,430.62,10.22,161.09,34.68,121.13,0.49,121.13,42.26,45.98,198.66,28.67,406.32,200.68,0,158.72,415.7,0,13.18,0,3737.03,3468.97,268.06,239.27,0,0,34.78,233.27,47.65,47.18,131.64,21.85,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9899342236396252,0.4974708268643261,0.5025291731356738,78,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1984,Akron,OH,38.83,67.47,32.53,161.49,33.45,0,39.59,1262.9,0,1262.9,1297.6,557.81,170.07,170.49,247.37,47.64,315.89,9.55,205.14,34.7,182.05,0.34,182.05,26.4,44.59,208.35,22.65,427.57,216.67,0,154.67,434.8,0,25.81,0,3828.63,3573.67,254.96,307.22,0,0,31.07,223.89,42.32,62.71,125.4,28.56,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9616005907601421,0.4902122253070444,0.5097877746929557,74,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1985,Akron,OH,54.51,60.44,30.18,170.22,46.93,0,38.64,1285.72,0,1285.72,1321.07,639.64,162.02,164.88,166.44,48.01,381.74,9.55,197.95,35.35,275.55,0.31,275.55,23.32,48.41,196.99,25.09,407.2,236.62,0,159.58,449.52,0,27.69,0,3941.76,3697.83,243.92,236.68,0,0,36.85,207.08,49.61,68.74,135.53,32.35,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.8325162708139633,0.4543022531768179,0.5456977468231821,87,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1986,Akron,OH,57.87,74.12,35.29,197.48,58.73,0,43.7,1363.84,0,1363.84,1399.86,597.07,180.67,179.13,265.92,68.47,339.14,11.77,213.73,36.02,282.56,0.49,282.56,15.04,50.94,221.45,30.2,457.59,260.31,0,157.33,507.92,0,26.98,0,4262.86,3995.89,266.96,339.69,0,0,34.19,232.77,49.18,62.72,155.77,41.82,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.8507164534593369,0.45966871471272003,0.54033128528728,83,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1987,Akron,OH,68.09,78.99,26.27,265.54,69.64,0,48.42,1395.33,0,1395.33,1431.88,593.48,178.79,187.92,259.69,53.8,156.93,11.8,186.58,36.55,285.37,0.33,285.37,17.45,58.87,229.28,92.19,468.3,228.3,0,195.36,470.02,0,13.85,0,4315.45,4047.95,267.5,346.78,0,0,37.22,230.28,181.98,52.35,143.45,32.5,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.0042925974594832,0.5010708509987324,0.4989291490012675,81,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1988,Akron,OH,77.02,87.52,31.38,238.06,40.52,0,58.51,1486.4,0,1486.4,1523.68,529.18,174.43,209.19,237.9,48.76,125.3,11.74,222.92,37.28,350.24,0.44,350.24,15.7,59.35,225.88,42.14,470.56,240.53,0,174.89,498.48,0,15.14,0,4348.97,4127.25,221.72,294.12,0,0,50.24,171.48,169.21,45.39,155.11,40.03,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9390928366523926,0.4842949336420746,0.5157050663579255,77,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1989,Akron,OH,103.53,101.56,39.06,274.35,14.93,0,87.01,1427.23,0,1427.23,1463.69,518.67,176.53,219.57,215.17,59.81,116.36,11.26,212.03,36.46,335.64,0.36,335.64,14.62,59.88,222.73,30.2,497.54,235.63,0,190.58,515.02,0,14.78,0,4273.47,4061.64,211.83,244.72,0,0,29.72,182.1,151.49,53.13,144.37,38.14,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9452531511267666,0.485928091456497,0.5140719085435029,71,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1990,Akron,OH,79.98,94.38,41.71,246.75,10.96,0,89.68,1427.45,0,1427.45,1457.89,611,155.17,247.51,222.18,62.75,145.12,12.26,185.76,30.45,165.94,0.26,165.94,14.89,57.69,219.63,30.69,476.73,240.44,0,225.44,550.69,0,15.55,0,4171.88,3942.8,229.08,248.04,0,0,47.16,181.91,182.48,45.48,153.43,41.53,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9134503410414241,0.47738387636663987,0.5226161236333602,87,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1991,Akron,OH,73.31,101.36,44.38,256.99,12.13,0,67.66,1476.15,0,1476.15,1505.96,636.82,159.48,246.36,342.84,61.26,131.72,23.09,183.16,29.81,145.04,0.25,145.04,15.79,52.28,227.46,37.93,477.7,255.82,0,235.08,563.45,0,16,0,4411.63,4139.87,271.76,370.76,0,0,46.43,225.34,217.49,45.91,167.59,42.32,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.8891408021264953,0.470658831319318,0.529341168680682,86,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1992,Akron,OH,53.35,102.59,41.98,256.31,14.64,0,67.63,1415.44,0,1415.44,1444.92,718.79,155.71,256.01,216.87,136.23,152.56,26.66,165.84,29.48,150.07,0.25,150.07,15.24,67.49,228.83,58.4,478.83,287.66,0,323.32,679.89,0,18.12,0,4456.49,4141.4,315.09,246.75,0,0,49.33,265.77,175.17,38.23,175.21,74.22,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.7954877285684488,0.4430482681174854,0.5569517318825147,86,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1993,Akron,OH,64.99,101.16,50.83,249.83,12.24,0,61.7,1404.67,0,1404.67,1438.14,678.81,154.81,268.78,179.54,61.55,134.57,27.97,119.57,33.47,273.24,0.36,273.24,24.38,79.38,238.05,32.84,482.52,187.58,0,322.29,517.9,0,10.47,0,4326.55,3976.17,350.37,216.16,0,0,45.28,305.1,142.22,4.17,155.27,28.14,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.269058535025056,0.5592885839813924,0.44071141601860775,86,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1994,Akron,OH,51.92,101.21,44.47,249.9,13.02,0,73.28,1366.94,0,1366.94,1404.2,592.76,161.26,289.81,261.27,64.64,138.84,20.32,113.36,37.26,437.48,0.35,437.48,24.83,66.48,248.06,52.3,502.91,163.23,0,196.14,517.68,0,11.3,0,4466.06,4117.4,348.66,299.12,0,0,47.54,301.12,190.95,3.96,156.62,2.65,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.51969613428904,0.6031267475503903,0.39687325244960975,84,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1995,Akron,OH,59.51,103.74,43.24,446.31,18.47,0,96.12,1435.58,0,1435.58,1476.31,696.12,170.46,253.52,325.15,68.49,147.66,20.02,135.95,40.74,125.17,0.35,125.17,31.91,87.26,265.59,239.82,552.18,187.74,0,388.83,509.75,0,11.76,0,4648.79,4317.34,331.46,375.54,0,0,45.84,285.61,72.01,4.27,180.48,2.98,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.4146692233940554,0.5858646019456025,0.4141353980543975,66,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1996,Akron,OH,62.23,106.43,36.56,257.82,13.91,0,90.25,1479.46,0,1479.46,1523.39,778.34,177.45,339.68,241.56,67.52,100.15,13.26,184.5,43.93,349.39,0.35,349.39,75.13,117.28,282.79,52.6,563.75,205.7,0,388.72,612.89,0,12.66,0,4879.67,4600.68,279,330.59,0,0,49.03,229.97,171.84,4.2,197.35,4.15,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.3747690811861937,0.5789064259247887,0.4210935740752113,71,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1997,Akron,OH,83.71,92.24,41.64,282.7,17.56,0,95.62,1504.85,0,1504.85,1551.93,679.29,162.6,358.69,241.1,68.65,92.27,13.64,141.3,47.08,241.32,0.34,241.32,72.73,227.05,274.87,65.11,546.72,200.13,0,275.7,627.47,0,18.66,0,4738.89,4402.13,336.76,331.4,0,0,53.51,283.24,83.93,4.85,190.74,4.53,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.3734572527856894,0.5786736842105263,0.42132631578947366,79,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1998,Akron,OH,72.42,99.85,76.72,304.89,15.83,0,66.46,1531.94,0,1531.94,1581.2,721.96,154,366.51,200.16,67.42,303.44,11.96,176.52,49.26,168,0.28,168,32.41,54.71,331.5,55.9,563.92,219.51,0,309.53,653.45,0,24.11,0,4767.09,4418.34,348.75,248.41,0,0,57.13,291.62,53.99,4.66,210.59,4.26,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.5101817684843515,0.6016224750911962,0.39837752490880385,76,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1999,Akron,OH,92.33,136.18,85.37,466.73,20.39,0,101.09,1643.77,10.42,1654.19,1705.26,603.08,211.8,329.76,219.04,72.81,120.07,37.59,196.98,51.07,368.34,0.48,368.34,97.62,83.21,257.87,152.85,608.35,210.93,0,333.38,613.49,0,25.17,0,5269.28,4899.26,370.02,337.04,0,0,48.38,321.64,65.94,5.23,204.39,1.31,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.2225382828426492,0.5500639931740614,0.4499360068259386,68,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2000,Akron,OH,93.63,133.98,48.09,304.86,21.82,0,113.71,1674.84,7.36,1682.2,1734.37,611.69,171.13,388.99,211.62,73.24,144.25,16.85,179.33,52.17,377.22,0.53,377.22,27.05,100.93,288.92,29.16,590.61,202.1,0,304.61,664.32,0,27.6,0,5046.12,4722.89,323.23,260.49,0,0,50.56,272.67,61.38,5.8,194.17,2.13,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.4295893122216725,0.5884078041627633,0.4115921958372368,76,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2001,Akron,OH,100.01,139.17,42.72,302.42,23.55,0,128.97,1787.8,7.18,1794.98,1849.26,574.4,163.51,334.97,189.64,71.22,253.97,14.14,188.45,54.28,322.86,0.58,322.86,19.33,61.51,226.53,20.51,533.16,216.25,0,205.38,622.44,0,26.64,0,4903.11,4625.51,277.6,232.52,0,0,73.16,204.44,52.96,4.52,211.73,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.0475375722543352,0.5116084737341343,0.4883915262658657,105,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2002,Akron,OH,122.74,154.61,107.62,417.27,27.75,0,134.67,1854.79,9.07,1863.86,1924.78,477.98,184.37,428.07,308,61.36,84.78,17.38,196.52,60.92,405.12,0.77,405.12,90.66,108.15,331.32,32.31,667.74,251.01,0,229.63,740.44,0,26.96,0,5559.69,5256.25,303.44,426.41,0,1.81,75.32,226.32,54.64,4.75,246.26,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.3199474124536872,0.5689557467415384,0.43104425325846174,65,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2003,Akron,OH,114.38,139.1,61.77,345.4,30.75,0,130.6,1884.02,0,1884.02,1964.61,539.01,166.5,424.64,163.76,62.75,220.65,13.3,183.31,80.58,481.79,1.13,481.79,47.72,82.41,239.39,30.15,549.79,328.52,0,171.07,815.92,0,49.14,0,5388.07,5122.05,266.02,242.23,0,1.6,68.66,195.76,63.75,5.85,322.67,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.7286923170583222,0.4215280590234368,0.5784719409765632,99,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2004,Akron,OH,117.18,140.07,80.46,359.99,36.47,0,133.49,1962.12,0,1962.12,2061.07,498.19,168.3,363.55,314.27,58.86,200.67,13.1,174.9,98.95,440.07,1.11,440.07,75.54,60.18,237.45,22.28,552.33,311.8,0,173.04,734.21,0,32.63,0,5506.08,5247.04,259.03,426.28,0,0,76.45,182.58,63.19,0,311.8,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.7615458627325208,0.4323167956304051,0.567683204369595,103,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2005,Akron,OH,118.58,161.46,51.15,378.17,42.15,0,84.31,2037.57,0,2037.57,2117.86,495.49,151.13,450.95,243.05,62.45,122.96,14.26,216.26,80.29,487.63,4.74,487.63,57.11,93.29,325.68,46.97,575.38,272.96,0,218.42,786.36,0,34.07,0,5663.71,5399.44,264.27,342.31,0,0,63.83,200.44,56.09,0,272.96,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.1931418522860493,0.544033141788053,0.45596685821194705,95,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2006,Akron,OH,132.84,150.86,49.71,411.72,46.85,0,158.9,2024.15,0,2024.15,2086.97,475.9,150.79,438.44,300.13,25.11,115.59,14.07,196.22,62.82,383.14,0.55,383.14,64.88,83.57,321.73,78.3,645.5,280.28,0,223.77,743.83,0,33.37,0,5604.09,5355.16,248.93,411.85,0,0,65.75,183.18,52.43,0,280.28,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.1478878264592551,0.5344263384329164,0.4655736615670836,77,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2007,Akron,OH,194.01,174.33,33.14,428.41,62.03,0,99.94,2084.17,0,2084.17,2148.27,602.7,160.88,461.38,383.32,0,115.22,16.54,191.49,64.1,612.8,0.24,612.8,22.41,156.34,398.26,26.93,675.62,315.27,0,276.01,776.66,0,7.45,0,6169.91,5903.7,266.21,467.76,0,1.02,68.79,196.4,54.89,0,315.27,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.2632346877279792,0.5581545274900845,0.44184547250991546,78,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2008,Akron,OH,92.1,144.48,43.07,309.71,46.88,0,91.11,2208.6,0,2208.6,2271.21,675.61,164.2,362.43,106.07,0,368.83,12.77,249.06,62.6,760.46,0.3,760.46,35.35,58.45,289.28,30.06,557.35,315.12,0,174.89,677.55,0,7.44,0,5911.58,5689.26,222.32,188.3,0,1.37,68.54,152.4,73.14,0,315.12,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9179994922569179,0.4786234281932495,0.5213765718067506,110,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2009,Akron,OH,132.76,154.18,116.98,411.62,35.98,0,82.86,2354.93,0,2354.93,2417.86,785.88,237.23,391.15,350.66,0,461.83,5.02,181.72,62.92,983.18,0.6,983.18,186.86,76.55,448.46,7.7,773.57,304.99,0,243.31,696.15,0,8.47,0,7185.39,6823.48,361.91,573.5,0,5.26,148.59,208.06,3.59,0,304.99,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.4704088658644545,0.5952087066162319,0.404791293383768,64,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2010,Akron,OH,122.75,145.4,130.25,405.77,42.13,0,79.33,2412.66,0,2412.66,2469.15,572.21,235.76,432.41,348.64,0,196.71,5.69,123.32,56.5,717.41,0.57,717.41,72.34,68.87,425.49,7.36,746.27,275.95,2.41,230.03,708.36,0,33.63,0,6465.58,6208.01,257.57,465.52,0,0.69,82.52,174.36,76.04,0,275.95,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.541909766262004,0.6065950045620437,0.39340499543795615,69,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2011,Akron,OH,125.13,155.4,24.95,435.43,44.22,0,70.31,2297.53,0,2297.53,2346.31,721.42,214.17,259.76,304.46,0,325.75,5.46,210.33,48.78,832.98,0,832.98,72.2,55.06,418.69,129.96,708.63,324.27,0,264.02,584.03,0,77.21,0,6533.45,6260.01,273.44,420.88,0,0,93.9,179.53,76.59,0,324.27,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.2911771054985044,0.5635431247981049,0.4364568752018951,70,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2012,Akron,OH,101.47,118.65,33.29,288.57,32.37,0,111.8,2143.88,4.07,2147.95,2195.37,572.96,138.41,310.57,76.28,0,239.03,6.43,167.02,47.42,765.3,0.34,765.3,31.84,84.9,239.03,35.16,495.66,190.95,0,176.2,501.52,0,81.38,0,5386.52,5126.9,259.62,140.5,0,0,91.6,168.02,72.49,0,190.95,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.2517936632626343,0.5559095771896367,0.4440904228103632,129,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2013,Akron,OH,102.18,104.94,124.63,356.74,32.53,0,144.35,2091.13,0,2091.13,2136.46,575.21,136.7,292,84.33,0,214.56,5.94,279.41,45.33,743.12,0,743.12,31.44,76.54,218.06,25,505.05,186.54,0,212.95,478.54,0,72.7,0,5509.24,5222.84,286.41,148.29,0,0,122.04,164.36,71.16,0,186.54,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.1689718022944142,0.5389520514087988,0.46104794859120113,127,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2014,Akron,OH,135.07,123.12,40.58,346.37,32,0,143.15,2008.49,3.23,2011.72,2056.49,875.18,184.79,295.91,198.33,0,235.35,5.49,317.14,44.77,506.15,0,506.15,24.1,73.58,312.89,47.6,646.32,181.55,0,453.79,477.46,0,78.16,0,5752.15,5479.53,272.62,254.42,0,0,111.98,160.64,112.45,0,181.55,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.7234370696777745,0.6328169241970714,0.3671830758029286,87,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2015,Akron,OH,117.35,127.67,112.06,402.2,22.95,0,146.47,2058.81,3.49,2062.3,2104.69,955.39,254.06,239.56,209.55,0,319.39,5.07,256.16,42.39,532.3,0.55,532.3,26.54,60.79,350.02,45.11,755.61,187.33,0,507.47,426.89,0,39.9,0,6034.22,5692.28,341.94,259.05,0,1.84,122.96,217.14,67.19,0,187.33,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.868467410452143,0.651381780962129,0.34861821903787105,62,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2016,Akron,OH,118.94,126.44,144.62,419.61,31.22,0,142.57,2165.54,5.61,2171.15,2215.31,862.21,244.83,235.56,155.32,0,263.24,5.36,158.53,44.16,288.84,0,288.84,21.84,84.26,329.63,29.62,722.4,196.24,0,441.73,431.81,0,35.76,0,5586.73,5307.08,279.65,208.38,0,0,112.02,167.63,72.97,3.65,192.59,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.6797289033836118,0.6268279232509936,0.37317207674900643,68,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
2017,Akron,OH,109.01,126.43,177.11,442.88,31.13,0,144.74,2131.66,11.41,2143.08,2189.17,887.28,254.57,233.94,153.35,0,266.61,5.34,127.98,46.09,347.79,0,347.79,22.67,91.66,340.82,30.33,745.47,202.49,0,453.92,436.43,0,48.79,0,5641.85,5384.14,257.71,207.15,0,0,93.16,164.55,75.08,3.59,198.91,0,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.6831448466590941,0.6273030130128289,0.3726969869871713,66,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1977,Albuquerque,NM,53.21,0,76.51,144.06,33.94,0,53.81,1121.47,0,1121.47,1139.52,345.98,138.51,20.01,126.07,0,31.74,13.38,97.82,18.04,300.42,0.32,300.42,7.94,122.74,226.26,14.34,431.96,0,0,98.33,20.01,0.73,66.14,0,2936.72,2647.72,288.27,167.96,0,0,83.93,204.34,92.86,0,0,0,0.6621143816847874,0.7810815833488199,0.28091834524583065,-1,0.503217890545421,Inf,1,0,65,222.048309178744,50.32178905454211,649.33,431.96,166.66000000000003,51.75
1978,Albuquerque,NM,52.36,0,80.71,150.63,64.89,0,56.85,1105.83,0,1105.83,1124.03,320.97,131.95,25.89,98.18,1.03,13.8,11.81,75.84,18.19,467.34,0.35,467.34,8.46,127.91,207.39,17.56,408,4.22,0,97.37,31.14,0.66,63.58,0,3008.35,2749.48,258.21,171.53,0,0,38.15,220.06,81.54,0,3.99,0.23,0.6621143816847874,0.7810815833488199,0.28091834524583065,-1,0.503217890545421,49.144549763033176,0.9800576532299986,0.019942346770001416,70,222.048309178744,50.32178905454211,649.33,431.96,166.66000000000003,51.75
1979,Albuquerque,NM,68.97,0,77.83,162.64,71.91,0,41.8,1125.9,0,1125.9,1149.09,517.2,135.69,33.85,164.07,0.6,38.31,33.57,68.76,23.19,219.43,0,219.43,6.11,166.26,197.72,15.84,408.78,8.46,0,202.04,42.9,0.34,50.97,0,3119.45,2810.9,308.21,242.09,0,0,45.8,262.4,110.59,0,8.46,0,0.6621143816847874,0.7810815833488199,0.28091834524583065,-1,0.503217890545421,23.371158392434985,0.9589678921330875,0.04103210786691241,70,222.048309178744,50.32178905454211,649.33,431.96,166.66000000000003,51.75
1980,Albuquerque,NM,55.62,0,74.01,149.12,56.46,0,60.17,1092.52,0,1092.52,1113.69,405.96,126.1,34.76,152.13,1.37,57.11,33.56,82.49,21.17,154.14,0,154.14,22.57,161.26,200.91,19.48,420.74,10.36,0,102.04,46.49,0.29,41.22,0,3116.93,2603.79,512.85,231.15,0,0,77.49,435.36,85.55,0,10.36,0,0.6621143816847874,0.7810815833488199,0.28091834524583065,-1,0.503217890545421,19.392857142857142,0.9509632224168126,0.04903677758318739,59,222.048309178744,50.32178905454211,649.33,431.96,166.66000000000003,51.75
1981,Albuquerque,NM,47.78,0,47.95,114.95,75.17,0,44.48,1024.17,0,1024.17,1044.87,485.1,121.43,14.48,137.93,0.71,50.62,23.36,152.62,20.7,150.14,0,150.14,18.39,134.3,195.84,19.22,385.11,2.42,0,235.66,17.6,0.24,46.9,0,2876.32,2581.86,294.22,231.48,0,0,46.25,247.97,64.52,0,2.42,0,0.6621143816847874,0.7810815833488199,0.28091834524583065,-1,0.503217890545421,80.92561983471074,0.9877938061131848,0.012206193886815294,79,222.048309178744,50.32178905454211,649.33,431.96,166.66000000000003,51.75
